title,genres,clean_title
Son of God (2014),Drama,Son of God
Puss in Boots: The Three Diablos (2012),Animation Comedy,Puss in Boots: The Three Diablos
Why Don't You Play In Hell? (Jigoku de naze warui) (2013),Action Drama,Why Don't You Play In Hell? (Jigoku de naze warui)
Ocho apellidos vascos (2014),Comedy,Ocho apellidos vascos
Captain America: The Winter Soldier (2014),Action Adventure Sci-Fi IMAX,Captain America: The Winter Soldier
Noah (2014),Adventure Drama IMAX,Noah
"Nut Job, The (2014)",Adventure Animation Children Comedy,"Nut Job, The"
King of Comedy (Hei kek ji wong) (1999),Comedy Drama Romance,King of Comedy (Hei kek ji wong)
13 Sins (2014),Horror Thriller,13 Sins
Muppets Most Wanted (2014),Adventure Comedy Crime,Muppets Most Wanted
Me and you (io e te) (2012),Drama,Me and you (io e te)
Free to Play (2014),Documentary,Free to Play
"Unknown Known, The (2013)",Documentary,"Unknown Known, The"
The Raid 2: Berandal (2014),Action Crime Thriller,The Raid 2: Berandal
"Brain Smasher... A Love Story (Bouncer and the Lady, The) (1993)",Action Comedy,"Brain Smasher... A Love Story (Bouncer and the Lady, The)"
The Amazing Spider-Man 2 (2014),Action Sci-Fi IMAX,The Amazing Spider-Man 2
Calvary (2014),Comedy Drama,Calvary
Oculus (2013),Horror,Oculus
God's Not Dead (2014),Drama,God's Not Dead
Cold in July (2014),Drama Thriller,Cold in July
Rio 2 (2014),Adventure Animation Children Comedy,Rio 2
"Honest Liar, An (2014)",Comedy Documentary,"Honest Liar, An"
Fading Gigolo (2013),Comedy,Fading Gigolo
Transcendence (2014),Drama Sci-Fi IMAX,Transcendence
Hatchet III (2013),Comedy Horror,Hatchet III
"Other Woman, The (2014)",Comedy Romance,"Other Woman, The"
"Haunted House 2, A (2014)",Comedy Horror,"Haunted House 2, A"
Mulan II (2004),Action Animation Children Comedy Musical,Mulan II
Brick Mansions (2014),Action Crime Drama,Brick Mansions
Locke (2013),Drama,Locke
Neighbors (2014),Comedy,Neighbors
Alpha and Omega 3: The Great Wolf Games (2014),Action Adventure Animation Children Comedy,Alpha and Omega 3: The Great Wolf Games
Mom's Night Out (2014),Comedy,Mom's Night Out
Lucy (2014),Action Sci-Fi,Lucy
X-Men: Days of Future Past (2014),Action Adventure Sci-Fi,X-Men: Days of Future Past
Godzilla (2014),Action Adventure Sci-Fi IMAX,Godzilla
Walk of Shame (2014),Comedy,Walk of Shame
Blue Ruin (2013),Thriller,Blue Ruin
Chef (2014),Comedy,Chef
Afflicted (2013),Horror Sci-Fi Thriller,Afflicted
Blended (2014),Comedy,Blended
Begin Again (2013),Comedy Romance,Begin Again
Maleficent (2014),Action Adventure Children IMAX,Maleficent
Zombeavers (2014),Action Comedy Horror,Zombeavers
At Middleton (2013),Comedy Romance,At Middleton
"Dance of Reality, The (Danza de la realidad, La) (2013)",Drama Fantasy,"Dance of Reality, The (Danza de la realidad, La)"
A Million Ways to Die in the West (2014),Comedy Western,A Million Ways to Die in the West
Edge of Tomorrow (2014),Action Sci-Fi IMAX,Edge of Tomorrow
Mission: Impossible - Rogue Nation (2015),Action Adventure Thriller,Mission: Impossible - Rogue Nation
Midnight Chronicles (2009),Action Adventure Fantasy,Midnight Chronicles
Million Dollar Arm (2014),Comedy Drama,Million Dollar Arm
G.B.F. (2013),Comedy,G.B.F.
Jimi: All Is by My Side (2013),Drama,Jimi: All Is by My Side
Bad Asses (Bad Ass 2) (2014),Action Drama,Bad Asses (Bad Ass 2)
Lilting (2014),Drama,Lilting
The Fault in Our Stars (2014),Drama Romance,The Fault in Our Stars
Tangled Ever After (2012),Action Animation Children,Tangled Ever After
Maps to the Stars (2014),Drama,Maps to the Stars
22 Jump Street (2014),Action Comedy Crime,22 Jump Street
"Equalizer, The (2014)",Action Crime Thriller,"Equalizer, The"
How to Train Your Dragon 2 (2014),Action Adventure Animation,How to Train Your Dragon 2
Birdman: Or (The Unexpected Virtue of Ignorance) (2014),Comedy Drama,Birdman: Or (The Unexpected Virtue of Ignorance)
Boyhood (2014),Drama,Boyhood
Think Like a Man Too (2014),Comedy Romance,Think Like a Man Too
Jersey Boys (2014),Drama Musical,Jersey Boys
Nick Fury: Agent of S.H.I.E.L.D. (1998),Action Sci-Fi,Nick Fury: Agent of S.H.I.E.L.D.
"Internet's Own Boy: The Story of Aaron Swartz, The (2014)",Documentary,"Internet's Own Boy: The Story of Aaron Swartz, The"
Transformers: Age of Extinction (2014),Action Adventure Sci-Fi,Transformers: Age of Extinction
Frank (2014),Comedy Drama Mystery,Frank
They Came Together (2014),Comedy Romance,They Came Together
Honey (Miele) (2013),Drama,Honey (Miele)
Planes: Fire & Rescue (2014),Adventure Animation Comedy,Planes: Fire & Rescue
Tammy (2014),Comedy,Tammy
Colourful (Karafuru) (2010),Animation Drama Fantasy Mystery,Colourful (Karafuru)
"Babadook, The (2014)",Drama Horror Thriller,"Babadook, The"
Whiplash (2014),Drama,Whiplash
Gone Girl (2014),Drama Thriller,Gone Girl
"Angriest Man in Brooklyn, The (2014)",Comedy Drama,"Angriest Man in Brooklyn, The"
Dawn of the Planet of the Apes (2014),Sci-Fi,Dawn of the Planet of the Apes
Deliver Us from Evil (2014),Crime Horror Thriller,Deliver Us from Evil
And So It Goes (2014),Comedy Drama Romance,And So It Goes
Sex Tape (2014),Comedy,Sex Tape
I Origins (2014),Drama Sci-Fi,I Origins
"Purge: Anarchy, The (2014)",Action Horror Thriller,"Purge: Anarchy, The"
Guardians of the Galaxy (2014),Action Adventure Sci-Fi,Guardians of the Galaxy
"Signal, The (2014)",Sci-Fi Thriller,"Signal, The"
The Expendables 3 (2014),Action Adventure,The Expendables 3
Hercules (2014),Action Adventure,Hercules
A Most Wanted Man (2014),Thriller,A Most Wanted Man
Life After Beth (2014),Comedy Horror Romance,Life After Beth
Felony (2013),Thriller,Felony
Get on Up (2014),Drama Musical,Get on Up
Magic in the Moonlight (2014),Comedy Drama Romance,Magic in the Moonlight
Housebound (2014),Comedy Horror Thriller,Housebound
The Hundred-Foot Journey (2014),Comedy Drama,The Hundred-Foot Journey
Batman: Assault on Arkham (2014),Action Animation Crime Thriller,Batman: Assault on Arkham
White Frog (2012),Drama,White Frog
"Den, The (2013)",Horror Thriller,"Den, The"
Jupiter Ascending (2015),Action Adventure Sci-Fi,Jupiter Ascending
Teenage Mutant Ninja Turtles (2014),Action Adventure Comedy,Teenage Mutant Ninja Turtles
I'll Follow You Down (2013),Drama Mystery Sci-Fi,I'll Follow You Down
"Old Lady and the Pigeons, The (La vieille dame et les pigeons) (1997)",Animation Comedy,"Old Lady and the Pigeons, The (La vieille dame et les pigeons)"
"Giver, The (2014)",Drama Sci-Fi,"Giver, The"
"Pretty One, The (2013)",Comedy Drama,"Pretty One, The"
Revenge of the Green Dragons (2014),Action Crime Drama,Revenge of the Green Dragons
Let's Be Cops (2014),Comedy Crime,Let's Be Cops
"Inbetweeners 2, The (2014)",Comedy,"Inbetweeners 2, The"
"Sacrament, The (2013)",Horror Thriller,"Sacrament, The"
Sin City: A Dame to Kill For (2014),Action Crime Thriller,Sin City: A Dame to Kill For
If I Stay (2014),Drama,If I Stay
"Two Days, One Night (Deux jours, une nuit) (2014)",Drama,"Two Days, One Night (Deux jours, une nuit)"
Coherence (2013),Drama Mystery Sci-Fi Thriller,Coherence
"As Above, So Below (2014)",Horror Thriller,"As Above, So Below"
"One I Love, The (2014)",Comedy Drama Romance,"One I Love, The"
Headshot (2011),Crime Drama Thriller,Headshot
"Guest, The (2014)",Thriller,"Guest, The"
Pride (2014),Comedy Drama,Pride
Honeymoon (2014),Horror,Honeymoon
The Drop (2014),Crime Drama Thriller,The Drop
"20,000 Days on Earth (2014)",Documentary Drama Musical,"20,000 Days on Earth"
The Skeleton Twins (2014),Drama,The Skeleton Twins
Beautiful Losers (2008),Documentary,Beautiful Losers
"Maze Runner, The (2014)",Action Mystery Sci-Fi,"Maze Runner, The"
Camp X-Ray (2014),Drama,Camp X-Ray
"Walk Among the Tombstones, A (2014)",Action Crime Mystery Thriller,"Walk Among the Tombstones, A"
Laggies (2014),Comedy Romance,Laggies
Cesar Chavez (2014),Drama,Cesar Chavez
Who Am I (Kein System Ist Sicher) (2014),Thriller,Who Am I (Kein System Ist Sicher)
"Tale of Princess Kaguya, The (Kaguyahime no monogatari) (2013)",Animation Drama Fantasy,"Tale of Princess Kaguya, The (Kaguyahime no monogatari)"
This Is Where I Leave You (2014),Comedy Drama,This Is Where I Leave You
Angel's Egg (Tenshi no tamago) (1985),Animation Drama Fantasy,Angel's Egg (Tenshi no tamago)
American Sniper (2014),Action War,American Sniper
Tusk (2014),Comedy Drama Horror,Tusk
Hector and the Search for Happiness (2014),Adventure Comedy Drama,Hector and the Search for Happiness
Horns (2014),Horror Mystery,Horns
Annabelle (2014),Horror,Annabelle
Two Night Stand (2014),Comedy Romance,Two Night Stand
Dracula Untold (2014),Action Drama Fantasy,Dracula Untold
Stretch (2014),Action Comedy Crime,Stretch
Autómata (Automata) (2014),Sci-Fi Thriller,Autómata (Automata)
"Captive, The (2014)",Crime Drama Thriller,"Captive, The"
Predestination (2014),Action Mystery Sci-Fi Thriller,Predestination
Justin and the Knights of Valour (2013),Adventure Animation,Justin and the Knights of Valour
Ward 13 (2003),Action Animation Comedy Horror,Ward 13
What We Do in the Shadows (2014),Comedy Horror,What We Do in the Shadows
John Wick (2014),Action Thriller,John Wick
Plastic (2014),Action Crime,Plastic
"Judge, The (2014)",Drama,"Judge, The"
"Culture High, The (2014)",Documentary,"Culture High, The"
Fury (2014),Action Drama War,Fury
"Salvation, The (2014)",Drama Western,"Salvation, The"
St. Vincent (2014),Comedy,St. Vincent
"Rewrite, The (2014)",Comedy Romance,"Rewrite, The"
Nightcrawler (2014),Crime Drama Thriller,Nightcrawler
Big Hero 6 (2014),Action Animation Comedy,Big Hero 6
The Book of Life (2014),Adventure Animation Romance,The Book of Life
"Love, Rosie (2014)",Comedy Romance,"Love, Rosie"
Time Lapse (2014),Crime Drama Sci-Fi Thriller,Time Lapse
Ex Machina (2015),Drama Sci-Fi Thriller,Ex Machina
Crippled Avengers (Can que) (Return of the 5 Deadly Venoms) (1981),Action Adventure,Crippled Avengers (Can que) (Return of the 5 Deadly Venoms)
Mr Hublot (2013),Animation Comedy,Mr Hublot
Copenhagen (2014),Adventure Drama Romance,Copenhagen
"Simpsons: The Longest Daycare, The (2012)",Animation Comedy,"Simpsons: The Longest Daycare, The"
Generation War (2013),Drama War,Generation War
Christmas in Connecticut (1992),Comedy Romance,Christmas in Connecticut
Leviathan (2014),Drama,Leviathan
Reign of Assassins (2010),Action,Reign of Assassins
Zulu (2013),Crime Drama Thriller,Zulu
Tangerines (2013),Drama,Tangerines
Life Partners (2014),Comedy Romance,Life Partners
Drive Hard (2014),Action Comedy Crime,Drive Hard
New Kids Nitro (2011),Action Comedy,New Kids Nitro
Stalingrad (2013),Action Drama War IMAX,Stalingrad
Dead Snow 2: Red vs. Dead (2014) ,Action Comedy Horror,Dead Snow 2: Red vs. Dead
Volga - Volga (1938),Comedy Musical,Volga - Volga
You Are the Apple of My Eye (2011),Comedy Drama Romance,You Are the Apple of My Eye
DeadHeads (2011),Adventure Comedy Horror,DeadHeads
The Imitation Game (2014),Drama Thriller War,The Imitation Game
Inherent Vice (2014),Comedy Crime Drama Mystery Romance,Inherent Vice
Rudderless (2014),Comedy Drama,Rudderless
The Hunger Games: Mockingjay - Part 1 (2014),Adventure Sci-Fi Thriller,The Hunger Games: Mockingjay - Part 1
Sex Ed (2014),Comedy Romance,Sex Ed
Exodus: Gods and Kings (2014),Action Adventure Drama,Exodus: Gods and Kings
Wild Tales (2014),Comedy Drama Thriller,Wild Tales
Jetsons: The Movie (1990),Animation Children Comedy Musical Sci-Fi,Jetsons: The Movie
Ski School (1991),Comedy,Ski School
Dumb and Dumber To (2014),Comedy,Dumb and Dumber To
The Longest Week (2014),Comedy Drama,The Longest Week
Miss Meadows (2014),Drama,Miss Meadows
Too Many Cooks (2014),Comedy,Too Many Cooks
Painted Skin (2008),Action Drama Thriller,Painted Skin
The Theory of Everything (2014),Drama Romance,The Theory of Everything
Doctor Who: The Time of the Doctor (2013),Adventure Drama,Doctor Who: The Time of the Doctor
Virunga (2014),Documentary War,Virunga
The Madagascar Penguins in a Christmas Caper (2005),Animation Comedy,The Madagascar Penguins in a Christmas Caper
Song of the Sea (2014),Animation Children Fantasy,Song of the Sea
In the Heart of the Sea (2015),Action Adventure Drama,In the Heart of the Sea
Hello Ladies: The Movie (2014),Comedy,Hello Ladies: The Movie
Jurassic World (2015),Action Adventure Drama Sci-Fi Thriller,Jurassic World
Watermark (2014),Documentary,Watermark
Citizenfour (2014),Documentary,Citizenfour
Asterix: The Land of the Gods (Astérix: Le domaine des dieux) (2014),Animation,Asterix: The Land of the Gods (Astérix: Le domaine des dieux)
Hit by Lightning (2014),Comedy Crime Romance,Hit by Lightning
Horrible Bosses 2 (2014),Comedy Crime,Horrible Bosses 2
Double Trouble (1992),Action Comedy Crime Romance,Double Trouble
Dragonheart 2: A New Beginning (2000),Action Adventure Comedy Drama Fantasy Thriller,Dragonheart 2: A New Beginning
La Belle Verte (1996),Comedy,La Belle Verte
Penguins of Madagascar (2014),Adventure Animation Children Comedy,Penguins of Madagascar
'71 (2014),Action Drama Thriller War,'71
The Rabbi's Cat (Le chat du rabbin) (2011),Adventure Animation,The Rabbi's Cat (Le chat du rabbin)
Still Alice (2014),Drama,Still Alice
Paddington (2014),Children Comedy,Paddington
Maze Runner: Scorch Trials (2015),Action Thriller,Maze Runner: Scorch Trials
Ice Age: A Mammoth Christmas (2011),Adventure Animation Children,Ice Age: A Mammoth Christmas
The Voices (2014),Comedy Crime Thriller,The Voices
Courier (1987),Comedy Drama Romance,Courier
The Green Prince (2014),Documentary Drama Thriller,The Green Prince
Dying of the Light (2014),Drama Thriller,Dying of the Light
Hellbenders (2012),Comedy Horror Thriller,Hellbenders
Omega Doom (1996),Sci-Fi,Omega Doom
By the Gun (2014),Crime Drama Thriller,By the Gun
Kill the Messenger (2014),Crime Drama Mystery Thriller,Kill the Messenger
Bring It On: In It To Win It (2007),Comedy,Bring It On: In It To Win It
Fans (1999),Comedy,Fans
The Mule (2014),Comedy Crime Drama,The Mule
The Hobbit: The Battle of the Five Armies (2014),Adventure Fantasy,The Hobbit: The Battle of the Five Armies
Selma (2014),Drama,Selma
Unbroken (2014),Drama War,Unbroken
Black Sea (2015),Adventure Mystery Thriller,Black Sea
Good Copy Bad Copy (2007),Documentary,Good Copy Bad Copy
Playing It Cool (2014),Comedy Romance,Playing It Cool
National Lampoon's Bag Boy (2007),Comedy,National Lampoon's Bag Boy
Closer to the Moon (2013),Comedy Drama,Closer to the Moon
"Girl Walks Home Alone at Night, A (2014)",Horror Romance Thriller,"Girl Walks Home Alone at Night, A"
Dave Chappelle: For What it's Worth (2004),Comedy,Dave Chappelle: For What it's Worth
Scooby-Doo! Abracadabra-Doo (2010),Animation Children Mystery,Scooby-Doo! Abracadabra-Doo
Mommy (2014),Drama,Mommy
Wild (2014),Drama,Wild
Top Five (2014),Comedy,Top Five
Bill Burr: I'm Sorry You Feel That Way (2014),Comedy,Bill Burr: I'm Sorry You Feel That Way
Big Eyes (2014),Drama,Big Eyes
Into the Woods (2014),Children Comedy Fantasy Musical,Into the Woods
"Men, Women & Children (2014)",Comedy Drama,"Men, Women & Children"
The Interview (2014),Action Comedy,The Interview
Kingsman: The Secret Service (2015),Action Adventure Comedy Crime,Kingsman: The Secret Service
Bill Burr: You People Are All the Same (2012),Comedy,Bill Burr: You People Are All the Same
Night at the Museum: Secret of the Tomb (2014),Adventure Children Comedy Fantasy,Night at the Museum: Secret of the Tomb
Paradox (2010),Sci-Fi Thriller,Paradox
The Punisher: Dirty Laundry (2012),Action Crime Drama,The Punisher: Dirty Laundry
Seventh Son (2014),Adventure Children Fantasy,Seventh Son
Corner Gas: The Movie (2014),Comedy,Corner Gas: The Movie
A Man Called Blade (1977),Action Drama Thriller Western,A Man Called Blade
A Merry Friggin' Christmas (2014),Comedy,A Merry Friggin' Christmas
Into the Forest of Fireflies' Light (2011),Animation Drama Fantasy,Into the Forest of Fireflies' Light
PK (2014),Comedy Drama Fantasy Mystery Romance,PK
Chappie (2015),Action Thriller,Chappie
The Salt of the Earth (2014),Documentary,The Salt of the Earth
The Fool (2014),Drama,The Fool
Taken 3 (2015),Action Crime Thriller,Taken 3
Blackhat (2015),Action Crime Drama Mystery Thriller,Blackhat
By the Law (1926),Drama,By the Law
Son of a Gun (2014),Action Crime Drama,Son of a Gun
Terminator Genisys (2015),Action Adventure Sci-Fi Thriller,Terminator Genisys
John Mulaney: New In Town (2012),Comedy,John Mulaney: New In Town
Patton Oswalt: My Weakness Is Strong (2009),Comedy,Patton Oswalt: My Weakness Is Strong
The Hound of the Baskervilles (1988),Crime Drama Horror Mystery,The Hound of the Baskervilles
Man on High Heels (2014),Action Comedy,Man on High Heels
Space Buddies (2009),Adventure Children Fantasy Sci-Fi,Space Buddies
Houdini (2014),Drama,Houdini
To Grandmother's House We Go (1992),Adventure Children Comedy,To Grandmother's House We Go
101 Dalmatians II: Patch's London Adventure (2003),Animation Children,101 Dalmatians II: Patch's London Adventure
The Hungover Games (2014),Comedy,The Hungover Games
The Duke of Burgundy (2014),Drama,The Duke of Burgundy
Red Army (2014),Documentary,Red Army
It Follows (2014),Horror,It Follows
The Town that Dreaded Sundown (2014),Horror Thriller,The Town that Dreaded Sundown
Carry on Cabby (1963),Adventure Comedy Romance,Carry on Cabby
Carry on Cruising (1962),Comedy Romance,Carry on Cruising
Bill Burr: Let It Go (2010),Comedy,Bill Burr: Let It Go
Bill Burr: Why Do I Do This? (2008),Comedy,Bill Burr: Why Do I Do This?
Killer Movie (2008),Comedy Horror Mystery Thriller,Killer Movie
Sebastian Maniscalco: What's Wrong with People? (2012),Comedy,Sebastian Maniscalco: What's Wrong with People?
Stuart Little 3: Call of the Wild (2005),Animation Children Comedy Fantasy,Stuart Little 3: Call of the Wild
Guy X (2005),Comedy War,Guy X
Tooth Fairy 2 (2012),Children Comedy,Tooth Fairy 2
The Diary of Anne Frank (2009),Drama War,The Diary of Anne Frank
The Deadly Bees (1967),Horror Mystery Thriller,The Deadly Bees
Wicked Blood (2014),Action Drama Thriller,Wicked Blood
Oblivion 2: Backlash (1996),Sci-Fi,Oblivion 2: Backlash
Mad Max: Fury Road (2015),Action Adventure Sci-Fi Thriller,Mad Max: Fury Road
Insidious: Chapter 3 (2015),Fantasy Horror Thriller,Insidious: Chapter 3
Star Wars: Episode VII - The Force Awakens (2015),Action Adventure Fantasy Sci-Fi IMAX,Star Wars: Episode VII - The Force Awakens
Warcraft (2016),Action Adventure Fantasy,Warcraft
Avengers: Age of Ultron (2015),Action Adventure Sci-Fi,Avengers: Age of Ultron
Justice League (2017),Action Adventure Sci-Fi,Justice League
Ant-Man (2015),Action Adventure Sci-Fi,Ant-Man
Fantastic Four (2015),Action Adventure Fantasy Sci-Fi,Fantastic Four
Deadpool (2016),Action Adventure Comedy Sci-Fi,Deadpool
Black Panther (2017),Action Adventure Sci-Fi,Black Panther
